data,model,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Tidymodels Grid,Tidymodels IB
BreastCancer,gbm,0.9913 (1439.6),0.9921 (79),0.9941 (199.1),0.9947 (13.9),0.9647 (5538.6),0.9647 (195.6)
Lichen,gbm,0.895 (4133.3),0.8976 (368.7),0.8913 (853.4),0.8932 (50.3),0.8445 (11196.4),0.8517 (432.7)
Mullein,gbm,0.9697 (149182.8),0.9701 (7771.7),0.967 (24630.5),0.9661 (1162.2),0.9289 (194383.2),0.9224 (7974.9)
Pima,gbm,0.8327 (934.8),0.823 (66.5),0.8062 (210.5),0.8145 (13.6),0.7422 (5047.1),0.7396 (207.8)
Sonar,gbm,0.9244 (1726),0.9352 (79.5),0.9344 (305.9),0.9043 (17.8),0.8627 (6173.5),0.7941 (200.1)
BreastCancer,svm,0.9937 (9.3),0.9931 (3.5),0.9956 (1.4),0.9927 (0.6),0.9647 (126.2),0.9647 (88)
Lichen,svm,0.8995 (59.1),0.8922 (15.7),0.871 (14.4),0.8858 (3.7),0.8565 (146.2),0.8421 (92.8)
Mullein,svm,0.9594 (47837.7),0.9487 (3549.2),0.9587 (38273.6),0.9573 (1167.3),0.8842 (7378.8),0.9161 (3306.6)
Pima,svm,0.8332 (38.2),0.8474 (9.3),0.8269 (5.9),0.8224 (1.4),0.763 (121.9),0.737 (84.3)
Sonar,svm,0.9475 (9.5),0.9591 (4.6),0.9537 (2.8),0.9568 (1.6),0.8137 (110.7),0.8824 (87.7)
